Date,Time,Vrms,Irms,Temp
15/09/2025,11:00:46 a. m.,225.38,107.25,0.65
15/09/2025,11:00:26 a. m.,224.71,107.98,0.65
15/09/2025,11:00:05 a. m.,222.94,105.24,0.65
15/09/2025,10:59:42 a. m.,226.03,108.04,0.65
15/09/2025,10:59:22 a. m.,226.58,108.11,0.65
15/09/2025,10:59:02 a. m.,224.83,105.79,0.65
15/09/2025,10:58:42 a. m.,225.37,106.53,0.65
15/09/2025,10:58:23 a. m.,225.27,107.55,0.65
15/09/2025,10:58:03 a. m.,224.53,105.98,0.65
15/09/2025,10:57:44 a. m.,223.28,105.88,0.65
15/09/2025,10:57:12 a. m.,225.41,106.85,0.65
15/09/2025,10:56:50 a. m.,223.28,106.31,0.65
15/09/2025,10:56:31 a. m.,224.2,106.08,0.65
15/09/2025,10:56:12 a. m.,223.25,106.8,0.65
15/09/2025,10:55:52 a. m.,223.23,105.69,0.65
15/09/2025,10:55:32 a. m.,222.69,105.47,0.65
15/09/2025,10:55:12 a. m.,222.6,106.92,0.65
15/09/2025,10:54:49 a. m.,222.96,106.28,0.65
15/09/2025,10:54:29 a. m.,223.62,110.07,0.64
15/09/2025,10:53:58 a. m.,225.73,107.36,0.65
15/09/2025,10:53:39 a. m.,225.19,107.46,0.65
15/09/2025,10:53:20 a. m.,225.48,107.87,0.64
15/09/2025,10:52:59 a. m.,224.82,107.37,0.65
15/09/2025,10:52:40 a. m.,226.5,108.16,0.65
15/09/2025,10:52:09 a. m.,225.94,108.25,0.65
15/09/2025,10:51:49 a. m.,224.74,108.14,0.65
15/09/2025,10:51:24 a. m.,224.46,107.07,0.65
15/09/2025,10:51:04 a. m.,224.66,107.75,0.65
15/09/2025,10:50:45 a. m.,225.71,109.36,0.64
15/09/2025,10:50:24 a. m.,223.91,107.63,0.65
15/09/2025,10:50:05 a. m.,225.2,108.23,0.65
15/09/2025,10:49:44 a. m.,225.04,109.38,0.64
15/09/2025,10:49:24 a. m.,223.89,107.27,0.65
15/09/2025,10:49:04 a. m.,225.51,108.25,0.64
15/09/2025,10:48:45 a. m.,225.01,108.66,0.65
15/09/2025,10:48:23 a. m.,225.06,108.24,0.65
15/09/2025,10:48:04 a. m.,224.34,109.2,0.65
15/09/2025,10:47:42 a. m.,224.14,108.99,0.65
15/09/2025,10:47:23 a. m.,223.87,109.06,0.65
15/09/2025,10:47:02 a. m.,223.88,109.86,0.64
15/09/2025,10:46:42 a. m.,226.29,108.65,0.65
15/09/2025,10:46:22 a. m.,225.53,109.2,0.65
15/09/2025,10:45:42 a. m.,224.97,109.51,0.64
15/09/2025,10:45:20 a. m.,225.97,110.14,0.65
15/09/2025,10:45:00 a. m.,224.91,110.31,0.64
15/09/2025,10:44:40 a. m.,224.83,109.82,0.64
15/09/2025,10:44:13 a. m.,226.4,110.32,0.64
15/09/2025,10:43:44 a. m.,224.78,111.25,0.64
15/09/2025,10:43:24 a. m.,224.91,110.49,0.64
15/09/2025,10:43:04 a. m.,224.78,114.65,0.64
15/09/2025,10:42:43 a. m.,223.78,112.56,0.64
15/09/2025,10:42:10 a. m.,225.39,111.86,0.64
15/09/2025,10:41:36 a. m.,225.88,112.02,0.64
15/09/2025,10:41:05 a. m.,226.76,112.04,0.64
15/09/2025,10:40:42 a. m.,224.71,109.83,0.64
15/09/2025,10:40:14 a. m.,223.61,110.5,0.64
15/09/2025,10:39:48 a. m.,224.19,110.13,0.64
15/09/2025,10:39:27 a. m.,224.74,111.51,0.64
15/09/2025,10:39:04 a. m.,225.19,110.02,0.64
15/09/2025,10:38:40 a. m.,226.63,30.22,0.7
15/09/2025,10:38:19 a. m.,225.57,30.1,0.7
15/09/2025,10:38:00 a. m.,225.32,30.29,0.7
15/09/2025,10:37:39 a. m.,227.07,29.93,0.7
15/09/2025,10:37:21 a. m.,226.98,30.37,0.7
15/09/2025,10:36:57 a. m.,227.15,29.83,0.7
15/09/2025,10:36:36 a. m.,225.89,30.25,0.7
15/09/2025,10:35:43 a. m.,224.73,29.48,0.7
15/09/2025,10:35:19 a. m.,225.4,29.16,0.7
15/09/2025,10:35:00 a. m.,226.77,37.03,0.69
15/09/2025,10:34:41 a. m.,226.13,38.26,0.69
15/09/2025,10:34:21 a. m.,224.63,38.44,0.7
15/09/2025,10:34:01 a. m.,225.39,31.33,0.69
15/09/2025,10:33:41 a. m.,225.58,30.52,0.7
15/09/2025,10:33:20 a. m.,226.08,30.48,0.7
15/09/2025,10:32:50 a. m.,226.68,30.52,0.7
15/09/2025,10:32:25 a. m.,225.93,30.02,0.7
15/09/2025,10:32:04 a. m.,225.2,30.26,0.7
15/09/2025,10:31:44 a. m.,228.36,36.13,0.7
15/09/2025,10:31:21 a. m.,226.69,30.07,0.7
15/09/2025,10:31:01 a. m.,225.25,30.02,0.7
15/09/2025,10:30:41 a. m.,225.82,30.33,0.7
15/09/2025,10:30:21 a. m.,225,30.63,0.7
15/09/2025,10:30:01 a. m.,228.06,31.07,0.7
15/09/2025,10:29:41 a. m.,229.11,29.81,0.7
15/09/2025,10:29:19 a. m.,226.59,30.06,0.7
15/09/2025,10:28:59 a. m.,225.36,30.63,0.7
15/09/2025,10:28:39 a. m.,226.3,30.69,0.7
15/09/2025,10:28:19 a. m.,227.01,30.42,0.7
15/09/2025,10:27:58 a. m.,226.11,30.91,0.7
15/09/2025,10:27:37 a. m.,226.86,30.31,0.7
15/09/2025,10:27:17 a. m.,226.59,29.46,0.7
15/09/2025,10:26:56 a. m.,226.51,30.32,0.7
15/09/2025,10:26:36 a. m.,225.04,29.84,0.7
15/09/2025,10:26:16 a. m.,226,30.31,0.7
15/09/2025,10:25:55 a. m.,227.79,30.35,0.7
15/09/2025,10:25:35 a. m.,226.99,30.43,0.7
15/09/2025,10:25:09 a. m.,226.28,30.45,0.7
